COUNTRY,HDI,FERTILITY RATE,FEMALE LITERACY,FEMALE LABOR PARTICIPATION,GDP PER CAPITA,URBANIZATION RATE,CHILD MORTALITY,MEAN AGE AT FIRST BIRTH,YEARS
Afghanistan,0.501,,0.266,,510.7870634,,61,19.9,2020
Albania,0.794,,0.983,,5370.7775,,9,26.6,2020
Algeria,0.742,,0.742,,3743.541952,,23,31.4,2020
Andorra,0.851,,,,37361.09007,,3,32.8,2020
Angola,0.61,,0.625,,1449.922867,,72,19.4,2020
Antigua and barbuda,0.84,,,,15369.60823,,10,,2020
Argentina,0.851,,0.991,,8535.59938,,10,31,2020
Armenia,0.761,,1,,4268.680933,,12,25.2,2020
Australia,0.95,,0.962,,51791.54018,,4,28.7,2020
Austria,0.925,,0.962,,48716.40989,,3,29.7,2020
Azerbaijan,0.757,,1,,4229.910649,,21,24,2020
Bahamas,0.797,,0.955,,,,13,18.6,2020
Bahrain,0.885,,0.96,,24342.84446,,8,29.9,2020
Bangladesh,0.663,,0.74,,2248.850788,,32,26.8,2020
Barbados,0.803,,,,18347.11091,,11,,2020
Belarus,0.815,,1,,6542.8558,,3,26.8,2020
Belgium,0.939,,0.99,,45906.28758,,4,29.2,2020
Belize,0.713,,0.916,,5227.193638,,86,27.2,2020
Benin,0.504,,0.364,,1200.194266,,26,20.5,2020
Bhutan,0.688,,0.639,,3191.66907,,26,31.4,2020
Bolivia,0.697,,0.91,,3099.942191,,7,21.1,2020
Bosnia and Herzegovina,0.783,,0.971,,6130.311332,,15,27.7,2020
Botswana,0.718,,,,6323.297498,,44,,2020
Brazil,0.77,,0.949,,7074.193783,,15,27.1,2020
Brunei Darussalam,0.836,,0.969,,26834.35925,,10,,2020
Bulgaria,0.826,,0.982,,10769.94757,,7,26.4,2020
Burkina Faso,0.453,,0.291,,825.2370388,,85,19.4,2020
Burundi,0.435,,0.694,,210.0081399,,55,21.5,2020
Cabo Verde,0.647,,0.876,,3539.226612,,13,,2020
Cambodia,0.595,,0.797,,2081.739142,,26,22.4,2020
Cameroon,0.579,,0.731,,1555.603707,,75,20.1,2020
Canada,0.931,,0.827,,43537.8393,,5,29.4,2020
Central African Republic,0.386,,0.262,,462.8790713,,123,28.8,2020
Chad,0.408,,0.189,,866.9478149,,111,18.1,2020
Chile,0.856,,0.971,,13114.81547,,7,27.9,2020
China,0.786,,0.95,,10627.4638,,8,27.5,2020
Colombia,0.764,,0.96,,5339.687114,,13,21.7,2020
Comoros,0.592,,0.569,,1527.169909,,44,23,2020
Congo,0.643,,0.754,,,,81,19.6,2020
Congo (Democratic Republic of),0.506,,0.717,,,,45,19.9,2020
